"Credits"
{
// these keys must be in this order!
"show_credits_logo"	"0"
//"custom_logo"	"ExampleCustomLogo/example_custom_logo"
"asw_credits_"	"OPERAÇÃO LIMPEZA"
"asw_credits_"	""
"asw_credits_"	"Mapeamento e roteiro"
"asw_credits_"	"Steve76"
"asw_credits_"	""
"asw_credits_"	"Teste jogando"
"asw_credits_"	"Stain"
"asw_credits_"	"Dane"
"asw_credits_"	"Brak&Roll" 
"asw_credits_"	""
"asw_credits_"	"Ideias de mapa adicionais"
"asw_credits_"	"GI-Jack"
"asw_credits_"	"Lunatrix"
"asw_credits_"	"Dane"
"asw_credits_"	"GreenBuds" 
"asw_credits_"	""
"asw_credits_"	"Agradecimentos especiais para"
"asw_credits_"	"Nuun"
"asw_credits_"	"www.swarmarmory.com"
"asw_credits_"	""
"asw_credits_"	"Todos os filmes do Alien" 
"asw_credits_"	"Tropas Estelares "
"asw_credits_"	"O Enigma do Horizonte"
"asw_credits_"	"Solaris"
"asw_credits_"	"Darkstar"
}
