"lang"
{
"Language"		"tchinese"
"Tokens"
{
		"testcommands"		"<clr:255,0,0>This is red<I> and italics<B> and<cr>bold<B><I><clr:255,255,255> white again."
		"[english]testcommands"		"<clr:255,0,0>This is red<I> and italics<B> and<cr>bold<B><I><clr:255,255,255> white again."
"Command.co_m1_ob1"		"<clr:240,255,255>指揮官：好的，小隊。我們需要查看船運清單，看看有沒有幸存者成功逃出來。妳們得前往登陸港灣，然後找到一個可以下載運輸記錄的端口。我在那裏與妳們聯絡。"
//Commander Audio
"[english]Command.co_m1_ob1"		"<clr:240,255,255>Commander: Okay, squad. We need to check the shipping manifests to see if any survivors made it off this rock. Make your way down to the landing bay and find a terminal where we can download the transport records. I'll check in with you there."
"Command.co_m1_ob2"		"<clr:240,255,255>指揮官：好吧，看來這些名單已經失效了。我猜異形來襲時，保存記錄這件事被忽略了。我們得繼續搜救，直至收到其他指令，所以繼續去尋找幸存者。朝遠方的出口前進，我們在那裏會合。"
"[english]Command.co_m1_ob2"		"<clr:240,255,255>Commander: Well, these manifests are useless. Guess record keeping wasn't exactly high on the priority list when the swarm hit. We are now search and rescue until otherwise informed, so keep an eye out for survivors. Head for the far exit and then we'll regroup."
"Command.co_m1_ob3"		"<clr:240,255,255>指揮官：好的，繼續前進！主殖民區就在前面！"
"[english]Command.co_m1_ob3"		"<clr:240,255,255>Commander: All right, keep going! Main colony's dead ahead!"
		"Command.co_m1_ob4"		"<clr:240,255,255>Commander: Keep the elevator down to the main mining complex and forward formation to the entrance."
		"[english]Command.co_m1_ob4"		"<clr:240,255,255>Commander: Keep the elevator down to the main mining complex and forward formation to the entrance."
"Command.co_m1_ob5"		"<clr:240,255,255>指揮官：我檢測到許多生物信號正朝妳們的位置移動。直覺告訴我它們並不友好。盡可能堅持到電梯到達。"
"[english]Command.co_m1_ob5"		"<clr:240,255,255>Commander: I'm picking up multiple inbound motion signatures. Something tells me these ain't friendlies. Try to hold out until the elevator arrives."
"Command.co_m1_ob6"		"<clr:240,255,255>指揮官：我們最好去Collony看看能找到什麽。"
"[english]Command.co_m1_ob6"		"<clr:240,255,255>Commander: We better get to the colony to see what we can find."
"Command.co_m1_ob7"		"<clr:240,255,255>指揮官：我們不能從這裏去Collony，我們要到下面去。"
"[english]Command.co_m1_ob7"		"<clr:240,255,255>Commander: We can't get to the colony from up here, we need to get down to the lower level."
"Command.co_m1_ob8"		"<clr:240,255,255>指揮官：到出口去！"
"[english]Command.co_m1_ob8"		"<clr:240,255,255>Commander: Get to the exit!"
"Command.co_m2_ob1"		"<clr:240,255,255>指揮官：情況不太妙，下一個區域已經完全被占領了。那些異形使用該區域的通風管道向殖民區四處擴散。妳們需要繼續前進並找到通風管道，到那時看看有沒有辦法可以把它摧毀。我們得阻止那些蟲子繼續擴散。"
"[english]Command.co_m2_ob1"		"<clr:240,255,255>Commander: The situation isn't pretty. This next sector is completely overrun. There's a pipeline that the Swarm's using as a superhighway to spread through the colony. You go ahead and find the pipeline, and I'll see if we can figure out a way to destroy it. We need to stop these bugs from getting out."
"Command.co_m2_ob2"		"<clr:240,255,255>指揮官：看來不只是我們知道那些異形的企圖。管道周圍有很多炸彈。估計那些礦工曾試圖引爆它們但是沒有成功。要不妳們去幫他們完成剩下的工作？"
"[english]Command.co_m2_ob2"		"<clr:240,255,255>Commander: Looks like we weren't the only ones who knew the Swarm were using the pipeline. That's a lot of boom packed around that pipe. Miners must have rigged the explosives but never got the chance to set em off. How about you finish what they started?"
"Command.co_m2_ob3"		"<clr:240,255,255>指揮官：妳的右上方有條管道。快過去把它炸掉！"
"[english]Command.co_m2_ob3"		"<clr:240,255,255>Commander: That's the pipeline right above you. Go ahead and blow it now!"
"Command.co_m2_ob4"		"<clr:240,255,255>指揮官：看來下一片區域的電力供應中斷了。我有個主意，可以幫妳們把路照亮。"
"[english]Command.co_m2_ob4"		"<clr:240,255,255>Commander: Looks like power's out in the next area. I got an idea though for lighting up your way."
"Command.co_m2_ob5"		"<clr:240,255,255>指揮官：好的，我讓獵血犬號過去，看看能不能幫妳們解決這個問題。當妳們過橋時盡可能地呆在它的探照燈下，這樣妳們應該不會遇到什麽大問題。"
"[english]Command.co_m2_ob5"		"<clr:240,255,255>Commander: Okay, I'm sending in Bloodhound to see if I can't shed a little light on this problem. You try and stay in her lamps while you're crossing the bridge, you should be all right."
"Command.co_m2_ob6"		"<clr:240,255,255>指揮官：幹的漂亮。現在，到對面去。"
"[english]Command.co_m2_ob6"		"<clr:240,255,255>Commander: Good job. Now get across."
"Command.co_m2_ob7"		"<clr:240,255,255>指揮官：好的，我讓獵血犬號下降並停在空中。妳們就在它靜止不動的時候從它上面過去。別踩得太用力了。等一切結束後還得靠她帶妳們回家。"
"[english]Command.co_m2_ob7"		"<clr:240,255,255>Commander: Okay, I'm gonna bring Bloodhound in low and hover. You climb across her back while she's waiting. Step lightly now. She's gotta bring you home at the end of this."
"Command.co_m2_ob8"		"<clr:240,255,255>指揮官：Collony反應堆就在前面。"
"[english]Command.co_m2_ob8"		"<clr:240,255,255>Commander: Colony reactor is dead ahead."
"Command.co_m3_ob1"		"<clr:240,255,255>指揮官：好了，隊員們，指揮部希望這裏的電腦重新恢復工作。由於異形的攻擊，殖民區的反應堆已經離線了，所以妳們要想辦法到達反應堆並讓它重新啟動。"
"[english]Command.co_m3_ob1"		"<clr:240,255,255>Commander: Okay Squad, command wants the computers up and running. The colony's reactor was knocked offline by the Swarm attack, so you need to find your way to the reactor core and get that juice back on in there."
		"Command.co_m3_ob2"		"<clr:240,255,255>Commander: Great job, team! Power is on. Command is accessing the colony's computer systems right now. Keep moving, and we'll regroup up ahead."
		"[english]Command.co_m3_ob2"		"<clr:240,255,255>Commander: Great job, team! Power is on. Command is accessing the colony's computer systems right now. Keep moving, and we'll regroup up ahead."
"Command.co_m3_ob3"		"<clr:240,255,255>指揮官：好的，隊員們，命令下來了。我就跟妳們直說了吧，情況糟透了。看來指揮部的家夥們並不希望看到殖民區電腦系統的記錄。似乎所有居民都死了。這意味著局勢已經失去控制，而指揮部決定讓異形們見識一下核子時代的奇跡。他們為礦場的核能開采裝置設置了密碼 — 應該說是枚戰略核彈頭 — 他們需要妳們把這個護送到異形巢穴的核心地帶。朝居民區前進，而我會幫妳們找條通向炸彈的路。"
"[english]Command.co_m3_ob3"		"<clr:240,255,255>Commander: Okay, Squad. Word just came down from on high. I'm gonna be straight with you, it's all bad. Command didn't like what the colony's computer system had to say. Looks like the colonists are dead. Means the infestation is out of control, and they've decided to introduce the Swarm to the wonders of the nuclear age. They've uploaded detonation codes into the mine's nuclear excavation device—basically a nuclear warhead—and they need you to deliver it into the heart of the Swarm's nest. Head toward residential, and I'll find you a path to the bomb."
"Command.co_m4_ob1"		"<clr:240,255,255>指揮官：好吧，傳感器顯示在這片區域中有很多的蟲卵和生物質體。為了騰出空間來讓妳們工作以及消滅異形，在必要的時候妳們把它們燒掉。但是，妳們要小心，摧毀生物質體會把異形給引過來。"
"[english]Command.co_m4_ob1"		"<clr:240,255,255>Commander: All right, sensors show a massive build-up of eggs and biomass in this sector. Make yourselves a little room to work. Clear out the infestation. Burn them if you have to, but be advised, destroying biomass calls the Swarm."
"Command.co_m4_ob2"		"<clr:240,255,255>指揮官：看來前方有很多生物質體；用火來解決它們。"
"[english]Command.co_m4_ob2"		"<clr:240,255,255>Commander: Looks like more biomass ahead; get a firing solution on that problem."
"Command.co_m4_ob3"		"<clr:240,255,255>指揮官：很好，妳們幾乎清除了所有剩餘的生物質體。繼續推進。"
"[english]Command.co_m4_ob3"		"<clr:240,255,255>Commander: All right, you've almost cleared out the last of it. Keep pushing forward."
"Command.co_m4_ob4"		"<clr:240,255,255>指揮官：再打掉一些蟲卵就能走了。"
"[english]Command.co_m4_ob4"		"<clr:240,255,255>Commander: Just a few more eggs to go."
"Command.co_m4_ob5"		"<clr:240,255,255>指揮官：妳已經清空了這片區域，該去外星蟲巢了。乘電梯下去。"
"[english]Command.co_m4_ob5"		"<clr:240,255,255>Commander: You cleared out the area, time to get to the Swarm nest. Take the elevator down."
"Command.co_m5_ob1"		"<clr:240,255,255>指揮官：好的，隊員們。我偵測到在16號下水道交匯點處有大量異形活動。"
"[english]Command.co_m5_ob1"		"<clr:240,255,255>Commander: Okay Squad. I'm picking up major swarm at sewer junction 16."
"Command.co_m5_ob2"		"<clr:240,255,255>指揮官：我偵測到在一個舊維修通道中有大量生物活動信號。記住，這些蟲蛋裏都是寄生蟲。一旦看到就立刻把它們幹掉。"
"[english]Command.co_m5_ob2"		"<clr:240,255,255>Commander: I'm picking up massive kinetic signatures in one of the old maintenance tunnels. Remember, these eggs are full of parasites. Take 'em out on sight."
