"lang"
{
"Language"	"tchinese"
"Tokens"
{
"asw_SynTekMegacorp"	"SynTek 特大集團公司。"
"[english]asw_SynTekMegacorp"	"SynTek Megacorporation Inc."
"asw_SynTekSlogan1"	"“推動人類的發展。”"
"[english]asw_SynTekSlogan1"	"\"Pushing the boundaries of humanity.\""
"asw_SynTekSlogan2"	"“開拓空間與科技。”"
"[english]asw_SynTekSlogan2"	"\"Pioneers in Space and Science.\""
"asw_SynTekSlogan3"	"“邁向未來。”"
"[english]asw_SynTekSlogan3"	"\"Reaching out.\""
"asw_SynTekSlogan4"	"“我們承擔責任。”"
"[english]asw_SynTekSlogan4"	"\"We take responsibility.\""
"asw_SynTekSlogan5"	"“改善大自然的設計。”"
"[english]asw_SynTekSlogan5"	"\"Improving on nature's design.\""
"asw_SynTekScrollLine0"	"啟動 ROM 簽名正確。"
"[english]asw_SynTekScrollLine0"	"Boot ROM signed correctly."
"asw_SynTekScrollLine1"	"主機操作系統成功通過驗證。"
"[english]asw_SynTekScrollLine1"	"Host OS authentication successful."
"asw_SynTekScrollLine2"	"SynNET 連接…"
"[english]asw_SynTekScrollLine2"	"SynNET connection..."
"asw_SynTekScrollLine3"	"."
"[english]asw_SynTekScrollLine3"	"."
"asw_SynTekScrollLine4"	"."
"[english]asw_SynTekScrollLine4"	"."
"asw_SynTekScrollLine5"	"已建立！"
"[english]asw_SynTekScrollLine5"	"established!"
"asw_SynTekScrollLine6"	" "
"[english]asw_SynTekScrollLine6"	" "
"asw_SynTekScrollLine7"	"檢查二進制代碼吊銷…"
"[english]asw_SynTekScrollLine7"	"Checking binary code revocations..."
"asw_SynTekScrollLine8"	"SynTek 總部低延遲監視進程啟動。"
"[english]asw_SynTekScrollLine8"	"Low latency SynTek HQ monitoring process started."
"asw_SynTekScrollLine9"	" "
"[english]asw_SynTekScrollLine9"	" "
"asw_SynTekScrollLine10"	"啟動用戶安全模塊…"
"[english]asw_SynTekScrollLine10"	"Launching user security module..."
"asw_SynTekScrollLine11"	" "
"[english]asw_SynTekScrollLine11"	" "
"asw_SynTekScrollLine12"	"檢測到 IAF 轉發器。"
"[english]asw_SynTekScrollLine12"	"IAF Transponder Detected."
"asw_SynTekScrollLine13"	"代碼IAFN6392-SYN，等級五，設備緊急信號確認。"
"[english]asw_SynTekScrollLine13"	"Code IAFN6392-SYN class 5 facility emergency signal recognised."
"asw_SynTekScrollLine14"	"改寫代碼已接受。"
"[english]asw_SynTekScrollLine14"	"Override code accepted."
"asw_SynTekScrollLine15"	" "
"[english]asw_SynTekScrollLine15"	" "
"asw_SynTekScrollLine16"	"SynTek 特大企業網絡終端授權訪客用戶"
"[english]asw_SynTekScrollLine16"	"SynTek Megacorporation Network Terminal granting Guest User rights to"
"asw_SynTekScrollLine17"	"二等兵 David 'Crash' Murphy。"
"[english]asw_SynTekScrollLine17"	"Private David 'Crash' Murphy."
"asw_SynTekScrollLine18"	"根據星際集團通訊權8726號文件K23條第5款授權"
"[english]asw_SynTekScrollLine18"	"Under authority of Interstellar Corporate Communications Act #8726/K23 Subsection 5"
"asw_SynTekScrollLine19"	"關於在五級緊急情況下使用關鍵系統。"
"[english]asw_SynTekScrollLine19"	"concerning use of critical system in class 5 emergency situation."
"asw_SynTekScrollLine20"	" "
"[english]asw_SynTekScrollLine20"	" "
"asw_SynTekScrollLine21"	"所有操作將被記錄並且任何不必要的數據訪問將會"
"[english]asw_SynTekScrollLine21"	"All actions will be logged and any unnecessary data access will result"
"asw_SynTekScrollLine22"	"觸犯法律，SynTek 客戶特權將會被中止。"
"[english]asw_SynTekScrollLine22"	"in legal action and termination of SynTek consumer privileges."
"asw_SynTekScrollLine23"	" "
"[english]asw_SynTekScrollLine23"	" "
"asw_SynTekScrollLine24"	"正在展開訪客用戶菜單選項…"
"[english]asw_SynTekScrollLine24"	"Enumerating interface menu options for Guest user..."
"asw_SynTekScrollLine25"	"啟動菜單系統…"
"[english]asw_SynTekScrollLine25"	"Launching menu system..."
"asw_SynTekScrollLine26"	" "
"[english]asw_SynTekScrollLine26"	" "
"asw_SynTekSecurityCam1"	"監控攝像頭1"
"[english]asw_SynTekSecurityCam1"	"Security Cam 1"
"asw_SynTekSecurityCam2"	"監控攝像頭2"
"[english]asw_SynTekSecurityCam2"	"Security Cam 2"
"asw_SynTekSecurityCam3"	"監控攝像頭3"
"[english]asw_SynTekSecurityCam3"	"Security Cam 3"
"asw_SynTekTurret1"	"炮塔1"
"[english]asw_SynTekTurret1"	"Turret 1"
"asw_SynTekTurret2"	"炮塔2"
"[english]asw_SynTekTurret2"	"Turret 2"
"asw_SynTekTurret3"	"炮塔3"
"[english]asw_SynTekTurret3"	"Turret 3"
"asw_SynTekMail"	"郵箱"
"[english]asw_SynTekMail"	"Mail"
"asw_SynTekNews"	"新聞"
"[english]asw_SynTekNews"	"News"
"asw_SynTekStocks"	"股票"
"[english]asw_SynTekStocks"	"Stocks"
"asw_SynTekAtmospherics"	"大氣"
"[english]asw_SynTekAtmospherics"	"Atmospherics"
"asw_SynTekPlantStatus"	"設施狀態"
"[english]asw_SynTekPlantStatus"	"Plant Status"
"asw_SynTekBackButton"	"返回"
"[english]asw_SynTekBackButton"	"Back"
"asw_SynTekReactorLabel"	"反應堆"
"[english]asw_SynTekReactorLabel"	"Reactor"
"asw_SynTekHeatExchangerLabel"	"熱交換器"
"[english]asw_SynTekHeatExchangerLabel"	"Heat Exchanger"
"asw_SynTekCoolingTowerLabel"	"冷卻塔"
"[english]asw_SynTekCoolingTowerLabel"	"Cooling Tower"
"asw_SynTekDrivingPistonsLabel"	"加壓活塞"
"[english]asw_SynTekDrivingPistonsLabel"	"Driving Pistons"
"asw_SynTekTemperaturesLabel"	"溫度："
"[english]asw_SynTekTemperaturesLabel"	"TEMPERATURES:"
"asw_SynTekPrimaryCoolantLabel"	"主冷卻劑"
"[english]asw_SynTekPrimaryCoolantLabel"	"Primary Coolant"
"asw_SynTekSecondaryCoolantLabel"	"次級冷卻劑"
"[english]asw_SynTekSecondaryCoolantLabel"	"Secondary Coolant"
"asw_SynTekEmergencyCoolantLabel"	"備用冷卻劑"
"[english]asw_SynTekEmergencyCoolantLabel"	"Emergency Coolant"
"asw_SynTekEnergyBusLabel"	"能量輸送母線原始輸出："
"[english]asw_SynTekEnergyBusLabel"	"Energy Transfer Bus Raw Output:"
"asw_SynTekReactorStatusLabel"	"反應堆"
"[english]asw_SynTekReactorStatusLabel"	"REACTOR"
"asw_SynTekReactorOnlineLabel"	"在線"
"[english]asw_SynTekReactorOnlineLabel"	"ONLINE"
"asw_SynTekReactorOfflineLabel"	"離線"
"[english]asw_SynTekReactorOfflineLabel"	"OFFLINE"
"asw_SynTekEnergyNameLabel"	"能量輸出"
"[english]asw_SynTekEnergyNameLabel"	"ENERGY OUTPUT"
"asw_SynTekEfficiencyNameLabel"	"運作\n效率"
"[english]asw_SynTekEfficiencyNameLabel"	"OPERATING\nEFFICIENCY"
"asw_SynTekFlagLabel0"	"登出"
"[english]asw_SynTekFlagLabel0"	"Out"
"asw_SynTekFlagLabel1"	"鎖定"
"[english]asw_SynTekFlagLabel1"	"Lock"
"asw_SynTekFlagLabel2"	"抑制"
"[english]asw_SynTekFlagLabel2"	"Dampening"
"asw_SynTekFlagLabel3"	"渦輪過載"
"[english]asw_SynTekFlagLabel3"	"Turbine Overload"
"asw_SynTekFlagLabel4"	"渦輪故障"
"[english]asw_SynTekFlagLabel4"	"Turbine Failure"
"asw_SynTekFlagLabel5"	"熱交換器過載"
"[english]asw_SynTekFlagLabel5"	"Heat Ex. Overload"
"asw_SynTekFlagLabel6"	"熱交換器故障"
"[english]asw_SynTekFlagLabel6"	"Heat Exchanger Failure"
"asw_SynTekFlagLabel7"	"主冷卻劑泄露"
"[english]asw_SynTekFlagLabel7"	"Primary Coolant Leak"
"asw_SynTekFlagLabel8"	"次級冷卻劑泄露"
"[english]asw_SynTekFlagLabel8"	"Secondary Coolant Leak"
"asw_SynTekFlagLabel9"	"備用冷卻劑泄露"
"[english]asw_SynTekFlagLabel9"	"Emergency Coolant Leak"
"asw_SynTekFlagLabel10"	"子空間連接"
"[english]asw_SynTekFlagLabel10"	"Subspace Hook-up"
"asw_SynTekFlagLabel11"	"SynTek 總部連接"
"[english]asw_SynTekFlagLabel11"	"SynTek HQ Link"
"asw_MailAccount"	"郵箱賬戶："
"[english]asw_MailAccount"	"Mail Account:"
"asw_MailBodyLabel"	"信息："
"[english]asw_MailBodyLabel"	"Message:"
"asw_menu_start_new_campaign"	"開始新戰役"
"[english]asw_menu_start_new_campaign"	"Start New Campaign"
"asw_menu_load_campaign"	"載入保存的戰役存檔"
