GAME
{
	// Inbox

	"MailFrom1"	"От: МВС ньюс"
	"MailDate1"	"Дата: 31 ноября, 2232"
	"MailSubject1"	"Тема: Журнал новостей за последние 4 месяца."
	"MailBody1A"	"1 августа, 2232 - Горнопромышленная компания «Гленкор» обнаружила высокие показатели радиации в Сиберии к востоку от соединительного звена ДЖ-5, которые, похоже, идут из-под земли. Начинаются горные работы."
	"MailBody1B"	"15 октября, 2232 - Источник огромной радиации наконец-то найден - это пещера, содержащая тонны зелёных прозрачных камней. Необходимо провести исследование, чтобы выяснить, что это за камни."
	"MailBody1C"	"18 октября, 2232 - Эксперименты начнутся в понедельник. Атомная структура породы не похожа ни на что, что когда-либо видели раньше."
	"MailBody1D"	"19 октября, 2232 - Сначала считалось, что камень состоит исключительно из электронов, которые каким-то образом связаны друг с другом и не свободны. Однако оказалось, что эти 'электроны' - странные мюоны. В настоящее время разрабатываются новые ядерные датчики для измерения реальной радиоактивности породы. Каждый человек, работавший в шахте и на экспериментах, теперь изолирован."
	"MailBody1E"	"23 октября, 2232 - Были разработаны новые ядерные датчики. Как и предполагалось, породы в двести раз более радиоактивны, чем считалось ранее. До сих пор неизвестно, почему мюоны связаны вместе и не улетучиваются быстро. Лаборатория была покинута и объявлен уровень угрозы МНЭС - 5."
	"MailBody1F"	"29 октября, 2232 - Через две недели после контакта шахтёров с горными породами - их дыхание очень тяжёлое, один человек умер. Люди всё ещё изолированы, у них статус 'заражённых'."
	"MailBody1G"	"11 ноября, 2232 - Последний человек, который находился рядом с камнем, умер. Однако трупы не разлагаются. Они кажутся свежими даже спустя почти месяц."
	"MailBody1H"	"14 ноября, 2232 - Показатели радиации в 15 километрах от лаборатории быстро растут. Причина этого неизвестна. Неужели камень начал быстрее разрушаться? Почему?"
	"MailBody1I"	"20 ноября, 2232 - Власти отправили отважную группу солдат в новых мюонозащитных костюмах для проведения расследования. Внутри лаборатории такие уровни радиоактивности ранее не наблюдались. Температура внутри здания растёт с момента его изоляции. Похоже, что более высокая температура ускоряет распад породы. Солдаты сомневаются в надёжности своих костюмов и в своей безопасности."
	"MailBody1J"	"22 ноября, 2232 - Горнопромышленная компания «Тио Ринто» предоставила некоторые сведения о материале, из которого сделана порода. 43 года назад они столкнулись с материалом, который начинает быстро разлагаться после воздействия высоких температур. Согласно их записям, этот материал был получен из космоса в результате падения метеорита. Если камень сделан из того же материала, то ожидается, что он достигнет критического состояния 17 декабря 2232 года. Часики тикают."
	"MailBody1K"	"Срок действия вашей подписки на «МВС ньюс» истёк. Вы можете продлить подписку на сайте iafnews.space/subscription"
}
