GAME
{
// PDA belongs to Brad Irwing

// Inbox

"MailFrom1"	"差出人: ブラッド・アーヴィング"
"MailDate1"	"送信日時: 31年3月23日"
"MailSubject1"	"件名: 読んでくれ！ 1枚目 ＆非表示"
"MailBody1A"	"ケイト、この手紙をキミに送る。気づいてくれるといいんだが。 3月14日の実験の後、主任研究者は俺のメールアカウントをブロックして俺の事を監視するようになった。俺が実験の結果を広めることを恐れたんだろう。 君が読んでくれることを祈ってこのメールを自分自身のアカウントに向けて送ることにする。"
"MailBody1B"	"ハンクは警報を無断使用した罪でシュミッツ大将に殺された。 彼には警報を鳴らす理由があった。実験は恐ろしい結果を出した、ハンクはその事を皆に知らせようとしたんだ。"
"MailBody1C"	"俺たちはこの実験により2つの情報を見出した。"
"MailBody1D"	"まず最初に、俺たちが発見した赤い検体2'15'15'13'5'18、識別名ブーマーは超高温にも耐えることができる。"

"MailFrom2"	"差出人: ブラッド・アーヴィング"
"MailDate2"	"送信日時: 31年3月23日"
"MailSubject2"	"件名: 読んでくれ！ 2枚目 ＆非表示"
"MailBody2A"	"だがもっと恐ろしいことがわかっている。 検体8'1'18'22、識別名ハーベスターは検体24'5'14'15、識別名ゼノマイトを産み出すことができる、ほんの数秒でな。 これらが恐ろしい理由は、ゼノマイトが卵を産むことが1月にわかったんだ。そこから検体16'1'18'1、識別名パラサイトが孵化する。"
"MailBody2B"	"ケイト、俺はこの施設から逃げようと思う。俺たちがやっていることは間違っている。 この情報を政府に共有すべきだ。誰も同意しなかったとしても、一人だけでやってみせる。"
"MailBody2C"	"よろしく、ブラッドより"
}
