GAME
{
// PDA belongs to Shaun Ming

// Inbox

"MailFrom1"	"发件人：约翰.凯恩"
"MailDate1"	"日期：2252年12月23日"
"MailSubject1"	"主题：回复：海伦·杨的实验室许可"
"MailBody1A"	"明，你疯了吗？你跟杨说了你的发现吗？！我清楚地告诉过你，除新特外任何人都不能知道你在上面做什么！"
"MailBody1B"	"更糟的是，事情正在失去控制。我刚从帝汶站回来。它正在蔓延。它们是怎么从2号平台到矿井的？"
"MailBody1C"	"顺便问一下，中庭发生了什么事？"
"MailBody1D"	"凯恩中尉，新特安全部"

// Sent

"MailFrom3"	"收件人：约翰.凯恩"
"MailDate3"	"日期：2252年12月23日"
"MailSubject3"	"主题：回复：回复：海伦·杨的实验室许可"
"MailBody3A"	"凯恩中尉，"
"MailBody3B"	"说话注意点。我不是你的手下。杨会守口如瓶。她的工作做得很出色，她知道她的事业有赖于此。所以，你在矿井里见过活的吗？有趣。有一个显而易见的解释：虫卵解冻后，会变得活跃。下面有足够的猎物来维持生长周期。算一算。"
"MailBody3C"	"不要担心中庭的情况。我们已经控制住了。昨天有一只寄生虫失踪了。我们认为它找到了一条从通风口到下层平台的路。1号平台的整个西北区域都被封锁了，所以什么都进不去。"
"MailBody3D"	"S.明"
}
