GAME
{
// PDA belongs to Charles Rivera

// Inbox

"MailFrom1"	"De: Phil Ryan"
"MailDate1"	"Data: 20/12/52"
"MailSubject1"	"Assunto: Spam!"
"MailBody1A"	"Sr. Rivera,"
"MailBody1B"	"Acho que falo em nome de todos aqui. Você pode POR FAVOR fazer algo sobre o spam? Atualize os filtros da caixa de entrada ou qualquer outra coisa, Eu presumo que você saiba melhor, mas pelo amor de Deus faça alguma coisa! Um centavo para cada porcaria que recebi no último mês e eu estaria rico para o resto da vida."
"MailBody1C"	"Phil Ryan"

"MailFrom2"	"De: Dr. Miller"
"MailSubject2"	"Fwd: Ph4rm4 4 U"
"MailDate2"	"Data: 12/12/52"
"MailBody2A"	"Consiga todas as paradas legalmente pela SynNet!!"
"MailBody2B"	"Is0t4m1na 23 por apenas 99$/pacote, tudo incl."
"MailBody2C"	"Transporte interestelar disponível."
"MailBody2D"	"Is0t4m1na 23 vai fazer você se sentir renovado, forte e descansado por um dia inteiro de trabalho!! Seus supervisores estão tomando it--por que você não deveria?"

// Sent

"MailFrom3"	"Para: Phil Ryan"
"MailDate3"	"Data: 20/12/52"
"MailSubject3"	"Assunto: Re: Spam!"
"MailBody3A"	"Caro Sr,"
"MailBody3B"	"Obrigado por seu e-mail e seu interesse na empresa. Estudamos cuidadosamente o seu pedido, e assim que um de nossos agentes estiver disponível ele será designado a esse problema. Não responda este email. Entraremos em contato com você o mais breve possível."
"MailBody3C"	"Gestor SynTek /Sys. Admin."
"MailBody3D"	"C. Rivera"
}
