GAME
{
// PDA belongs to Ten. Cain

// Inbox

"MailFrom1"	"Da: Laura Callen"
"MailDate1"	"Data: 18/12/52"
"MailSubject1"	"Oggetto: Avamposto 17"
"MailBody1A"	"Ten. Cain, abbiamo appena ricevuto la notizia da B. Campbell che il carico 4903877 contiene materiale organico di origine sconosciuta, congelato e immagazzinato nei container. La destinazione della nave cargo è la Stazione di Ricerca SynTek 7/Terra."
"MailBody1B"	"Vorrei che interrogassi nuovamente il tuo staff e mi aiutassi a scoprire chi sta violando la restrizione #77-C. (L'AI deve essere informata del trasporto di materiale organico sconosciuto diretto alla Terra; 77-C/1.1.4)"
"MailBody1C"	"Campbell sta anche segnalando la scomparsa di diversi lavoratori. La sicurezza delle colonie è una tua responsabilità. Mi aspetto che invierai abbastanza personale per proteggere l'area."
"MailBody1D"	"L. Callen"

"MailFrom2"	"Da: Alena"
"MailSubject2"	"Oggetto: Re: Ciao"
"MailDate2"	"Data: 15/11/52"
"MailBody2A"	"Nuovo assunto,"
"MailBody2B"	"Lavorare al di fuori dei sistemi centrali può essere un'esperienza solitaria. Appuntamenti SottoRete Starfire potrebbe essere la risposta ai tuoi problemi! Incontriamoci per parlare e forse qualcosa di più? Chiama (+490387439)"
"MailBody2C"	"Alena,"
"MailBody2D"	"baci"

// Sent

"MailFrom3"	"A: Laura Callen"
"MailDate3"	"Data: 21/12/52"
"MailSubject3"	"Oggetto: Avamposto 17"
"MailBody3A"	"Ms. Callen,"
"MailBody3B"	"So tutto sulla restrizione #77-C. Abbiamo cercato nell'Avamposto 17 e abbiamo trovato il carico vivo. L'abbiamo rinchiuso nel settore 39 e rimarrà lì fino a quando non avremo ricevuto ordini dall'Alleanza Interstellare su come procedere. Dobbiamo ancora trovare il personale mancante. Non sarebbe la prima volta che alcuni lavoratori si ubriacassero e scomparissero per un giorno o due. Dato che nulla può mai davvero perdersi su Vereon XII, sono sicuro che arriveranno presto. Il signor Campbell ha l'ordine di darmi aggiornamenti ogni 6 ore."
"MailBody3C"	"Ten. Cain, Sicurezza SynTek"
}
