GAME
{
	// PDA belongs to Lt. Cain

	// Inbox

	"MailFrom1"	"От: Лора Каллен"
	"MailDate1"	"Дата: 18.12.52"
	"MailSubject1"	"Тема: Застава №17"
	"MailBody1A"	"Л-т. Кейн, мы только что получили сообщение от Б. Кэмпбелла, что груз №4903877 содержит органический материал неизвестного происхождения, весь замороженный и хранящийся в контейнерах. Местом назначения грузового судна является исследовательская станция «СинТек» №7 / Земля."
	"MailBody1B"	"Я бы хотела, чтобы вы снова допросили своих сотрудников и помогли мне выяснить, кто нарушает ограничение №77-С. (МА должен быть проинформирован о передаче неизвестного органического материала на Землю; №77-C / 1.1.4)"
	"MailBody1C"	"Кэмпбелл также сообщает об исчезновении нескольких рабочих. Безопасность колонии - ваша ответственность.  Я рассчитываю, что вы пришлёте достаточно людей, чтобы обеспечить безопасность."
	"MailBody1D"	"Л. Каллен"

	"MailFrom2"	"От: Алена"
	"MailSubject2"	"Тема: На: Эй, красавчик"
	"MailDate2"	"Дата: 15.11.52"
	"MailBody2A"	"Эскорт"
	"MailBody2B"	"Работа вне основных систем может быть такой утомительной. «Подсеть знакомств звёздного огня» может быть ответом на ваши проблемы! Встретимся в чате, обсудим некоторое или может быть... больше? Звони (+490387439)"
	"MailBody2C"	"Алена"
	"MailBody2D"	"xxx"

	// Sent

	"MailFrom3"	"Кому: Лора Каллен"
	"MailDate3"	"Дата: 21.12.52"
	"MailSubject3"	"Тема: Застава №17"
	"MailBody3A"	"Мисс Каллен"
	"MailBody3B"	"Я всё знаю об ограничении №77-С. Мы обыскали заставу и нашли живой груз. Мы заперли его в секторе №39 и он останется там до тех пор, пока не получим приказ от «Межзвёздного союза» о дальнейших действиях. Нам ещё предстоит найти пропавших сотрудников. Это уже не первый раз, когда некоторые рабочие напиваются и исчезают на день или два. Так как никто не может в действительности потеряться на Вероне XII, я уверен, что они скоро появятся. Мистер Кэмпбелл приказал сообщать мне новости каждые 6 часов."
	"MailBody3C"	"Л-т. Кейн - Служба безопасности «СинТек»"
}
