GAME
{
	// PDA belongs to misc colonist

	// Inbox

	"MailFrom1"	"差出人: ジョン・ケイン"
	"MailDate1"	"送信日時: 52年12月24日"
	"MailSubject1"	"件名: 戒厳令"
	"MailBody1A"	"惑星ヴェロン12の全市民へ:"
	"MailBody1B"	"私は戒厳令を正式に布告する、これは即時有効だ。 全市民は自分の住居に戻り、次の通知があるまで待機せよ。 違反者は見つけ次第射殺する。"
	"MailBody1C"	"労働者同意基本契約書45条(第7項)にもある通り、この宣言はSynTekコロニー法#545/76Bにより承認される。"
	"MailBody1D"	"SynTekセキュリティ社、ケイン大尉より"

	"MailFrom2"	"差出人: 医療製薬博士社"
	"MailSubject2"	"件名: Re: 良品2239"
	"MailDate2"	"送信日時: 52年10月8日"
	"MailBody2A"	"こんにちは、"
	"MailBody2B"	"生体強化アイテムがお安いですよ！！！！"
	"MailBody2C"	"力が欲しいか？ 知力が欲しいか？ 魅力が欲しいか？ 医療製薬社が幅広く提供する人工インプラント技術、成長薬、装着品が全ての問題を解決します。 今すぐこのメールに返信すれば目の交換が50%割引！"
}
