GAME
{
	// PDA belongs to misc colonist

	// Inbox

	"MailFrom1"	"От: Джон Кейн"
	"MailDate1"	"Дата: 24.12.52"
	"MailSubject1"	"Тема: Военное положение"
	"MailBody1A"	"Всем гражданам Верона XII:"
	"MailBody1B"	"Я объявляю военное положение, вступающее в силу незамедлительно. Всем приказано разойтись по своим квартирам и оставаться там до дальнейших распоряжений. Любой, кто будет уличён в нарушении этого приказа, будет расстрелян на месте."
	"MailBody1C"	"Декларация в соответствии с законом о колониях «СинТек» №545/76Б в соответствии с стандартным договором о трудовом договоре, раздел №45."
	"MailBody1D"	"Л-т. Кейн - Служба безопасности «СинТек»"

	"MailFrom2"	"От: Д-р. из «ФармА МедТех»."
	"MailSubject2"	"Тема: Ответ: Хороший 2239"
	"MailDate2"	"Дата: 08.10.52"
	"MailBody2A"	"Привет"
	"MailBody2B"	"дЕшЁвЫе БиОтЕхНоЛоГиЧеСкИе УсОвЕрШеНсТвОвАнИя"
	"MailBody2C"	"Недостаточно силён? Недостаточно умён? Чего то не хватает? В «ФармА МедТех» мы можем решить все ваши проблемы, с полным спектром искусственных имплантатов, препаратов для роста и насадок. Ответьте сейчас и получите 50% скидку на сменную оптику!"
}
