GAME
{
// Computer belongs to Dr. Jacques Moreau

// Sent

"MailFrom3"	"宛先: 個人用データベース"
"MailDate3"	"送信日時: 42年5月24日"
"MailSubject3"	"件名: 素晴らしいモノ"
"MailBody3A"	"アレが話しかけてきた。 ヤツらの集合意識、もしくはこの未知の生命をなんと呼んだらいいものか。 私は『彼女』のことをヴェスタと呼ぶことにした。"
"MailBody3B"	"彼女が私に話しかける方法はまさにエイリアンらしかった。 それは...奇妙で、常軌を逸した、新しい感覚が私に数秒間貸し出され、またすぐに静寂に消えたという感じだった。 だがその空虚感からも、確信を持って言えるが、声が届いたと感じられた。 奇妙に広がるような音声の集合を聞き終わった後には、それを具体的には思い出せなかった。 この声は...私が失った人を思い出させる。"
"MailBody3C"	"私は自らの意思でヴェスタとの接触を試みた。 彼女に話しかけ、我々が何者なのか理解してもらおうとした。 馬鹿げたことにしか聞こえないというのは自分でもわかっている...しかし私は助言が欲しかった。 彼女に声を届けたかった、我々を恐れる必要は無いと伝えたかった。 我々人間は腐りゆく肉と心が詰まった脆弱な貝でしかないと。 そして彼女に我々を...私を望む道へ導いてくれるかどうか教えて欲しいと。"
"MailBody3D"	"彼女はにはただ死体だけが必要だ。"

"MailFrom4"	"宛先: ヘレン・モロー博士"
"MailDate4"	"送信日時: 42年6月15日"
"MailSubject4"	"件名: 無し"
"MailBody4A"	"ではいまここに、死人に告白しておく。 心から正直に言って、君が病気になってからどれだけ経ったのかももうわからない。 息詰まるような研究室の空気を和らげてくれた君の花のような香りを感じなくなってからどれだけ経っただろうか。"
"MailBody4B"	"この道はどこに続いているのだろう、ヘレン、私にはわからない。 この研究は人類の進歩の為だったはずなのに、人類が『一人一人、全員のために』という段階に進めたはずなのに。 もうすぐ皆が私のやった事全ての説明を要求するようになるだろう。その場限りの誤魔化しが日に日に積み上がっている。 そして今は、この様な重大な発見に対する責任の重みが、私一人にのしかかっている。 私は人間と新生命体、2つの心の間に立つ者として答えを出さなければならない。 ヴェスタ...ヘレン...もし君がここに居てくれたなら... 君は私の心の支えだった。私が心の平静を保つ鍵だった。 君の声は先も見えずに歩く私を導き、私の心の筋を編み上げる救いの糸だった。 だがその鍵は君の目が閉じられた時に消えてしまった。"
"MailBody4C"	"だから私は自らこの道を選んだんだ、これが正しいと思ったから。 私はSynTek社のオモチャにも誰の手にも落ちない。 この発見に人間の生体機能と癌のような細胞の繋がりの理解を進める可能性が少しでもあると気づいたから、あらゆる疑念を払って研究を押し進めていたんだ。 科学者として、私がやったことは正しくないとでも言うのか？ この素晴らしい進歩の機会を放棄してアイツらに任せていれば良かったとでも？ こんな素晴らしい発見を、綺麗なコートに身を包んだ企業のネズミどもの集団に委ねて、首脳部の権力ある金持ちどもが値段を見るだけの売り物でしかない、利益のために不快なほどに歪められた馬鹿げた物にしておけと？ それとも、アイツらならもっと下らない事に使うか...？"
"MailBody4D"	"そしてまた数え切れない人々が妻を、夫を、兄弟姉妹を、子供たちをあの恐ろしい、人類史上克服できなかった病気で失えと？ いや、私はもう決めたんだ。 アイツらに私は気が狂ったと呼ばせてやろう。"
}
