GAME
{
	// PDA belongs to Prof. Yann Montgomery

	// Inbox

	"MailFrom1"	"差出人: ジャック・モロー"
	"MailDate1"	"送信日時: 42年5月8日"
	"MailSubject1"	"件名: Re: 暫定的な考察"
	"MailBody1A"	"時間を取ってくれてありがとうございます、教授。 あなたの専門知識が私の仮定の大部分を裏付けてくれました。 観測する上で隔離措置は確実にマニュアル通りにやっています。 我々が扱っているのは何なのか完全に把握するまでは、ファランクス宇宙ステーションへの連絡は控えて頂くことをお願いします。"
	"MailBody1B"	"必要があれば詳しいことは研究室内で後で知らせます。"
	"MailFrom1C"	"Nam Humanum(ヒトのために)。"

	// Sent

	"MailFrom3"	"宛先: ジャック・モロー"
	"MailDate3"	"送信日時: 42年5月8日"
	"MailSubject3"	"件名: 暫定的な考察"
	"MailBody3A"	"親愛なる同僚へ。 あなたの研究室に隔離してある検体群の最初の観測を行いました。 あなたの管理下にある場所なので...詳しく指示されたようにね。 あくまでも最初の考えであると念頭に置いて頂きたいですが-結論として検体は驚くべき物だと思われます。"
	"MailBody3B"	"最初見た時には、検体は簡単に言えば生存のために探索し脅威があれば排除するという、基本的に単純なパターンに従っているように見えました。-言い換えると、我々と同じですね。 しかし更に興味深いことは、私が生物学に関わった27年間で動物、植物、菌糸のどこにも見られなかった、集合意識論を強く裏付ける行動証拠が見られることです。 検体たちは同族というより、むしろ常に一つの群体のように移動と休息をしている-これはが各個体を全体と繋げる上位意思の存在を示唆していると思われる。 この繋がりはどうやって確立され何のために広がるのか、それは本当に謎です。"
	"MailBody3C"	"私の観察記録の写しをメールに添付しておきました。 これは校正が終わったらファランクス宇宙ステーションにも伝える予定です。 個人的な要望も付け加えるなら、この検体の主成分についてと、あなたの研究チームがどうやってこの発見に辿り着いたのか正確に知りたいですね。 また、この研究に関わらせて頂いたことを光栄に思います。 私もあなたの指揮権限下に残り、協力関係を続けさせて頂きたいです。 Nam Humanum(ヒトのために)。"
	"MailBody3D"	"追伸: 言うまでもないが検体の観察は流出の無いように行ってください。 この生物の実際の危険性がどこまであるかはまだわかりませんが、一般人がこれの存在を知った場合の動揺は、ルグドゥノムにとって良くないのは明らかです...さらに言えば、SynTek社にもね。"

	"MailFrom4"	"宛先: ジョナサン・ドーランド"
	"MailDate4"	"送信日時: 42年5月10日"
	"MailSubject4"	"件名: 謝罪"
	"MailBody4A"	"ミスター・ドーランドへ、"
	"MailBody4B"	"モロー博士の最近の方針について関心があるのは私も同じだが、良識的に考えて、私は彼の研究室に行ったときの事を君に公表することはできない。 プロとしての倫理観により私はそんな事はできないので、昼食で君に会うことも避けている。"
	"MailBody4C"	"それと同時に入った予定として、研究を手伝い始めるように今朝キャラダイン大佐に頼まれたばかりだ。 したがって君に協力するのはどうやってもあり得ない。"
	"MailBody4D"	"まあ頑張るんだな。"
}
