GAME
{
// PDA belongs to Prof. Yann Montgomery

// Inbox

"MailFrom1"	"发件人：雅克·莫罗"
"MailDate1"	"日期：2242年5月8日"
"MailSubject1"	"主题：回复：初步考虑"
"MailBody1A"	"谢谢你抽出时间，教授。你的专业知识证实了我的大部分假设。顺便要确定的是，限制措施是按规定执行的。在我们完全确定我们面对的是什么之前，我要求你暂时不要联系方阵站。"
"MailBody1B"	"如有需要，我的实验室会进一步通知你。"
"MailFrom1C"	"生而为人"

// Sent

"MailFrom3"	"收件人：雅克.莫罗"
"MailDate3"	"日期：2242年5月8日"
"MailSubject3"	"主题：初步考虑"
"MailBody3A"	"亲爱的同事。我已经对您实验室里的标本组进行了初步观察，因为您的部门…礼貌地吩咐。请记住，这些只是初步的想法——尽管它们的结论可能有些令人担忧。"
"MailBody3B"	"乍一看，标本基本上遵循一种相当简单的行为模式，可以总结为，寻找并消除任何对其生存的潜在威胁——换句话说，就是我们人类。然而更有趣的是，在27年的生物学研究中，我很少看到行为证据，如此有力地支持蜂群思维理论，无论是动物、植物还是真菌。它们的移动和休息就像一家人一样，或者更确切地说，就像一个蜂群一样——这表明存在一种更高的直觉，将每个实体联系在一起。真正的问题是，这种联系是如何建立的，到了什么程度。"
"MailBody3C"	"您可以在此邮件中找到我的观察报告的完整手稿，修改后我也会将其转递到方阵站。如果我可以附加一个个人要求，我很想了解这个标本的基础，以及您的团队是如何发现它的。如果能参与到它的研究中来，那将是我莫大的荣幸。在这段新伙伴关系的前景上，我仍然听候你的安排。生而为人。"
"MailBody3D"	"附注：不用说，必须采取必要措施，避免任何疫情爆发。虽然我仍然怀疑这些生物的实际伤害能力，但公众因知道它们的存在而引起的骚动，显然不符合卢迪南的最佳利益……也不符合新特的。"

"MailFrom4"	"收件人：乔纳森.多兰"
"MailDate4"	"日期：2242年5月10日"
"MailSubject4"	"主题：我很抱歉"
"MailBody4A"	"多兰先生，"
"MailBody4B"	"虽然我和你一样，对莫罗博士最近的决定感到担忧。但出于礼仪，在我参观了他的实验室之后，我不能向你透露任何信息。职业道德不允许我这样做，所以我恐怕不能和你共进午餐了。"
"MailBody4C"	"卡拉丁上尉和我的预备队一起，请求我协助今天早上开始的搜查，因此无论如何我都不可能加入你们。"
"MailBody4D"	"祝你一切顺利"
}
