GAME
{
// PDA belongs to Brian Howe

// Inbox

"MailFrom1"	"差出人: ヘレン・ヤング"
"MailDate1"	"送信日時: 52年12月23日"
"MailSubject1"	"件名: アトリウムが閉鎖された！"
"MailBody1A"	"こんにちは、"
"MailBody1B"	"今朝あいつらはアトリウムを封鎖したわ！南棟だけじゃなく、施設全体よ。 汚染が換気システムを通って2番デッキから広がったと説明された。 セキュリティ職員は1番デッキの北西部を守り続けている。 あいつらは全然友好的じゃないわね。"
"MailBody1C"	"話は変わるけど、今朝糞馬鹿ミンからメールを受け取ったわ。 あいつとその部下はあなたが発見した卵について、まだ研究所で何か研究しているみたい。 あいつの実験は星間連盟の許可を受けてないに決まってるわ。"
"MailBody1D"	"またあとで--ヘレンより"

// Sent

"MailFrom3"	"宛先: ヘレン・ヤング"
"MailDate3"	"送信日時: 52年12月23日"
"MailSubject3"	"件名: Re: アトリウムが閉鎖された！"
"MailBody3A"	"ヘレン、事態は悪化し続けている！ 今夜また死体が見つかった。こいつは所々食いちぎられている。 ここには何かがいるぞ。得体の知れない何かが。 ケインとその部下数十名が現れて、俺たちに立ち入らないように言って、エレベーターでティモール駐屯地に降りていった。 それからほんのしばらくして、銃声が聞こえたんだ。"
"MailBody3B"	"ケイン達が戻ってきた時、あいつら2人だけになっていたよ、しかも2人とも大怪我をしてね。 ケインは俺たちに、全員今すぐ採掘場から引き揚げるように言った。 無理だと答えたよ、みんな採掘場全体に散らばって作業しているんだ。あいつは肩をすくめただけだったね。 あとはもうお前らの問題だとだけ言って、あいつは去っていったよ。"
"MailBody3C"	"それで、今俺はデイヴとトムと一緒にいる。 俺たちで行方不明の作業員を最後にもう1度だけ探すつもりだ。 君にはこの事を星間連盟の外交員ローラ・カレンへ知らせてほしい。その際にはミンのやつの事も話すんだ。 ローラはここで唯一ケインに指示する権限がある人物なんだ。"
"MailBody3D"	"気を付けて！ ブライアンより"
}
