GAME
{
// PDA belongs to Shaun Ming

// Inbox

"MailFrom1"	"发件人：约翰.凯恩"
"MailDate1"	"日期：2252年12月20日"
"MailSubject1"	"主题：送到7号研究站"
"MailBody1A"	"明先生，"
"MailBody1B"	"IA探员L.考伦发现了我们的货物。同时，看起来有些标本也松动了。我会处理的，但她可能会过来，问你和你的员工一些尖锐的问题。我建议你提前想出一些好的答案。把你的故事讲清楚。"
"MailBody1C"	"凯恩中尉，新特安全部"

"MailFrom2"	"发件人：好友"
"MailSubject2"	"主题：回复：就业机会"
"MailDate2"	"日期：2253年12月18日"
"MailBody2A"	"找到天堂了！"
"MailBody2B"	"厌倦了日复一日的工作？拥挤的生活环境，没有食物、药物，或干净的空气可以呼吸？加入殖民地安置计划（CPP），在群星中寻找更美好的生活！成员合作伙伴包括新特超级集团、联合工业集团和前沿制药集团。保证安置，无论您的档案或信用评级是什么！今天就找到你的天堂！（TM）"
}
