GAME
{
// PDA belongs to Lucius Pawn

// Inbox

"MailFrom1"	"差出人: ウィンダム・キング"
"MailDate1"	"送信日時: 53年02月29日"
"MailSubject1"	"件名: セキュリティについて"
"MailBody1A"	"スキャナの画面に何かを発見した。何かはわからない。 何か見つけたら何でも俺に報告するんだ。"
"MailBody1B"	"アナトはまたスパイだと思っている... 特殊訓練を受けたスパイが惑星軌道降下で侵入したってのか？"
"MailBody1C"	"あの野郎の脳内ストーリーに付き合うのはイライラするぜ。"
"MailBody1D"	"警備責任者、ウィンダム・キングより"

"MailFrom2"	"差出人: ラナ・キング"
"MailDate2"	"送信日時: 53年02月29日"
"MailSubject2"	"件名: コーヒーメーカーはどこ？？？"
"MailBody2A"	"コーヒーメーカーの問題を調べに来たわ。"
"MailBody2B"	"完全に壊れて消滅したの？それともそれと一緒に隠れんぼでもしてるの？"
"MailBody2C"	""
"MailBody2D"	"ラナより、愛をこめて"

// Sent

"MailFrom3"	"宛先: ウィンダム・キング"
"MailDate3"	"送信日時: 53年02月29日"
"MailSubject3"	"件名: Re: セキュリティについて"
"MailBody3A"	"イエッサー、見つけ次第全て報告します。"
"MailBody3B"	"今のところ、おかしい物はコーヒーメーカーだけです。 アナトが言うスパイが破壊工作をしたのかな？(^^;)"
"MailBody3C"	"娘さんは今日は任務ですか？ 彼女の技術ならコーヒーメーカーをなんとかできるかも。"
"MailBody3D"	"警備員、ルシウス・ポーンより"
}
