GAME
{
// PDA belongs to Andrew Smithson
// inbox 
"MailFrom1"	"Von: James Shluger"
"MailDate1"	"Datum: 09/10/57"
"MailSubject1"	"Betreff: Defekte Tür"
"MailBody1A"	"Andrew,"
"MailBody1B"	"die Tür zum Treppenhaus bei Hangar 7 macht wieder Probleme. Könntest du dorthin gehen und sehen, was du tun kannst? Danke."
"MailBody1C"	""
"MailBody1D"	""
"MailFrom2"	"Von: Oasis HR"
"MailDate2"	"Datum: 02/10/57"
"MailSubject2"	"Betreff: Feedback zu deiner Bewerbung"
"MailBody2A"	"Lieber Mr. Smithson,"
"MailBody2B"	"deine Bewerbung als Techniker/in für die Forschungseinrichtungen wurde geprüft. Es tut uns leid, dass wir deine Bewerbung zum jetzigen Zeitpunkt ablehnen müssen. Wir werden deine Daten aber aufbewahren, falls sich etwas ergeben sollte."
"MailBody2C"	"Die Verwaltung möchte sich an dieser Stelle für dein Interesse bedanken und wünscht dir viel Glück bei allen zukünftigen Unternehmungen."
"MailBody2D"	"Jonas White - Personalabteilung, Oasis Kolonie"
// sent mail
"MailFrom3"	"An: Henry Smithson"
"MailDate3"	"Datum: 09/10/57"
"MailSubject3"	"Betreff: Re:Re:Re:Hallo"
"MailBody3A"	"Du hast leicht reden, du bist nicht derjenige, der in diesem sinnlosen Job feststeckt. Ich schwöre, wenn ich heute noch eine Tastatur reparieren muss, drehe ich durch!"
"MailBody3B"	"Und das ist noch nicht das Schlimmste... In den letzten Wochen höre ich manchmal, wenn ich alleine arbeite, dass etwas in den Lüftungsschächten herumkrabbelt. Vielleicht bin ich nur paranoid, aber... weißt du noch, was vor ein paar Jahren in der Minenkolonie passiert ist?"
"MailBody3C"	""
"MailBody3D"	"Andy"
}
