GAME
{
	// PDA belongs to Andrew Smithson

	// inbox
	"MailFrom1"	"差出人: ジェームズ・シュルガー"
	"MailDate1"	"送信日時: 57年10月9日"
	"MailSubject1"	"件名: 壊れかけのドア"
	"MailBody1A"	"アンドリューへ、"
	"MailBody1B"	"7番格納庫近くの階段吹き抜けのドアがまた問題を起こしているぞ。 行ってどうなってるか確かめてくれないか？頼んだよ。"
	"MailBody1C"	""
	"MailBody1D"	""

	"MailFrom2"	"差出人: オアシスコロニー人事部"
	"MailDate2"	"送信日時: 57年10月2日"
	"MailSubject2"	"件名: 申請への返答"
	"MailBody2A"	"親愛なるミスター・スミスソンへ、"
	"MailBody2B"	"頂いた研究施設内技術者への異動申請を拝見しました。 申し訳ありませんが今回の申請は却下となりました。 しかし、状況が変化した時のために頂いた記録は保存しております。"
	"MailBody2C"	"管理部よりこの場をお借りして申し上げます。 この度は人事部に興味をお持ちいただき、ありがとうございました。今後のご活躍を心よりお祈り申し上げます。"
	"MailBody2D"	"オアシスコロニー人材管理部-ジョナス・ホワイトより"

	// sent mail
	"MailFrom3"	"宛先: ヘンリー・スミスソン"
	"MailDate3"	"送信日時: 57年10月9日"
	"MailSubject3"	"件名: Re:Re:Re:こんにちは"
	"MailBody3A"	"言うのは簡単だが、この脳が死にそうな仕事を待っているのは君だけじゃないんだ。 断言するが、今日のうちに別のキーパッドも直せと言われたら、もう発狂してしまうよ！"
	"MailBody3B"	"それより酷いこともある... ここ数週間、1人だけで作業していると、通気口から何かが這い回るような音が聞こえるように思えてならないんだ。 ただの妄想かもしれないけど... でも2年前に採掘コロニーで何が起きたか憶えているだろう？"
	"MailBody3C"	""
	"MailBody3D"	"アンディより"

}
