GAME
{
// PDA belongs to Tony Dawson

// Inbox

"MailFrom1"	"De: Barbara Whyte"
"MailDate1"	"Data: 10/06/57"
"MailSubject1"	"Assunto: Re:Re: segurança adicional"
"MailBody1A"	"Tony,"
"MailBody1B"	"Obrigado por designar o pessoal de segurança adicional. Todos ficaram bastante abalados depois que aqueles caras tentaram recuperar suas mercadorias à força, e a segurança adicional está realmente ajudando as pessoas a se sentirem mais à vontade."
"MailBody1C"	"Também ouvi dizer que a Jenny está bem e que se espera que ela se recupere totalmente. Por favor, avise o Adam, ele parecia bastante preocupado com ela."
"MailBody1D"	"Barbara Whyte - Supervisora do Armazem de Carga"

"MailFrom2"	"De: Andrew Smithson"
"MailDate2"	"Data: 10/04/57"
"MailSubject2"	"Assunto: Possível clandestino!"
"MailBody2A"	"Tony,"
"MailBody2B"	"Você poderia, por favor, enviar alguém para o hangar 6? Acho que pode haver algo nas ventilações daqui. Talvez um clandestino ou algo assim. Talvez o animal de estimação de alguém tenha se libertado ou algo assim, porque não acho que seja um humano que estou ouvindo."
"MailBody2C"	""
"MailBody2D"	"Andrew Smithson - Manutenção do Porto Espácial"

// Sent

"MailFrom3"	"Para: Barbara Whyte"
"MailDate3"	"Data: 10/06/57"
"MailSubject3"	"Assunto: Item confiscado"
"MailBody3A"	"Tivemos uma descoberta interessante hoje. Um dos passageiros do voo 320XYXF9A estava tentando levar um laser de mineração para a colônia em sua bagagem de mão. Informamos-lhe que os procedimentos adequados significavam que todo o equipamento motorizado e armas tinham de ser transferidos em containers selados e declarados antecipadamente."
"MailBody3B"	"Eu disse a ele quais formulários ele precisa preencher para que seja liberado de volta para ele, ele aceitou muito bem em geral. Entretanto, tranquei-o no arsenal da estação de segurança. Eu acho que provavelmente é melhor segurarmos isso. Depois daquele incidente com os pistoleiros, Eu imagino que o seu pessoal se sentirá melhor se não tiver que manusear uma arma laser de alta potência. Enviarei a você um relatório completo ainda hoje para que fique em seus registros."
"MailBody3C"	"Ah, e eu acho que Adam já sabe sobre Jenny. Ele tirou a tarde de folga para poder ficar lá no hospital. Acho que tem algo rolando entre esses dois."
"MailBody3D"	"Tony Dawson - Segurança do Porto Espácial"

"MailFrom4"	"De: Andrew Smithson"
"MailDate4"	"Data: 10/04/57"
"MailSubject4"	"Assunto: Re:Possível clandestino!"
"MailBody4A"	"Andrew pela ultima vez, não há nada nas ventilações! Esta é a quarta vez que você gritou lobo no último mês. Na semana passada foi o hangar 3, na semana anterior foi o armazenamento de combustível B. Cada vez que você nos envia em uma dessas perseguições inúteis, nunca encontramos uma única evidência que diga que realmente há alguma coisa lá. Estou farto de enviar os meus homens rastejando pelos sistemas de ventilação só para satisfazer as suas desilusões."
"MailBody4B"	"Esse não é meu trabalho, mas tenho conversado com outras pessoas do seu departamento e todos concordamos que você precisa de ajuda. Vou falar com a Administração para recomendar que você receba algum aconselhamento."
"MailBody4C"	""
"MailBody4D"	"Tony Dawson - Segurança do Porto Espácial"
}
