"lang"
{
"Language"	"german"
"Tokens"
{
// asw
"asw_SynTekMegacorp"	"SynTek Megacorporation, Inc."
"asw_SynTekPDA"	"SynTek Personal Digital Assistant"
"asw_SynTekAccount"	"Benutzer: %s1"
"asw_SynTekSlogan1"	"\"Überschreitet die Möglichkeiten der Menschheit.\""
"asw_SynTekSlogan2"	"\"Pioniere des Weltraums und der Wissenschaft.\""
"asw_SynTekSlogan3"	"\"Wir greifen nach den Sternen.\""
"asw_SynTekSlogan4"	"\"Wir übernehmen Verantwortung.\""
"asw_SynTekSlogan5"	"\"Wir verbessern den Entwurf der Natur.\""
"asw_SynTekScrollLine0"	"Boot-ROM korrekt signiert."
"asw_SynTekScrollLine1"	"Authentifizierung des Betriebssystems erfolgreich."
"asw_SynTekScrollLine2"	"SynNET-Verbindung..."
"asw_SynTekScrollLine3"	"."
"asw_SynTekScrollLine4"	"."
"asw_SynTekScrollLine5"	"hergestellt!"
"asw_SynTekScrollLine6"	"	"
"asw_SynTekScrollLine7"	"Überprüfe auf Ungültigkeiten im Binärcode..."
"asw_SynTekScrollLine8"	"Überwachungsprozess des SynTek HQs gestartet."
"asw_SynTekScrollLine9"	"	"
"asw_SynTekScrollLine10"	"Starte Sicherheitsmodul für Benutzer..."
"asw_SynTekScrollLine11"	"	"
"asw_SynTekScrollLine12"	"IAF-Transponder erkannt."
"asw_SynTekScrollLine13"	"Code IAFN6392-SYN Klasse 5 Anlagen-Notfallsignal erkannt."
"asw_SynTekScrollLine14"	"Code für manuellen Eingriff akzeptiert."
"asw_SynTekScrollLine15"	"	"
"asw_SynTekScrollLine16"	"SynTek Megacorporation Netzwerk-Terminal gewährt Gast-Benutzerrechte für"
"asw_SynTekScrollLine17"	"Private David 'Crash' Murphy."
"asw_SynTekScrollLine18"	"Mit Befugnis durch das Interstellare Konzernkommunikationsgesetz #8726/K23, Abschnitt 5"
"asw_SynTekScrollLine19"	"für die Verwendung eines kritischen Systems in einer Klasse-5-Notsituation."
"asw_SynTekScrollLine20"	"	"
"asw_SynTekScrollLine21"	"Alle Tätigkeiten werden aufgezeichnet und jeder nicht notwendige Datenzugriff wird zu"
"asw_SynTekScrollLine22"	"rechtlichen Schritten und dem Entzug der SynTek-Kundenprivilegien führen."
"asw_SynTekScrollLine23"	"	"
"asw_SynTekScrollLine24"	"Spezifiziere Menü-Optionen der Gast-Benutzeroberfläche..."
"asw_SynTekScrollLine25"	"Starte Menüsystem..."
"asw_SynTekScrollLine26"	"	"
"asw_SynTekSecurityCam"	"Überwachungskamera"
"asw_SynTekSecurityCam1"	"Überwachungskamera 1"
"asw_SynTekSecurityCam2"	"Überwachungskamera 2"
"asw_SynTekSecurityCam3"	"Überwachungskamera 3"
"asw_SynTekTurret1"	"Geschützturm 1"
"asw_SynTekTurret2"	"Geschützturm 2"
"asw_SynTekTurret3"	"Geschützturm 3"
"asw_turret_text_top_left"	"KOLONIE-SICHERHEITSCHECK\nVERWENDE CODE FÜR MANUELLEN EINGRIFF ALPHA 5/34\n\nINTERNER CHECK DER GESCHÜTZTURMSYSTEME\n0X83 0x32 0x17 0x02 0x82\n0x18 0x53 0x5A 0x70 0x12\n\nZIEL-SICHERHEITSCHECK:\nDEAKTIVIERT"
"asw_turret_text_top_right"	"FERNGESTEUERTES SICHERHEITSSYSTEM V264.3C\n\nZUR VERFÜGUNG GESTELLT VON SYNTEK SECURITY, EINE\nVOLLSTÄNDIGE TOCHTERGESELLSCHAFT VON\nSYNTEK MEGACORPORATION, INC.\n\nZIELVERFOLGUNG AKTIV\nGESCHÜTZLAUF: OK"
"asw_SynTekMail"	"E-Mail"
"asw_SynTekMailInbox"	"Posteingang"
"asw_SynTekMailOutbox"	"Gesendet"
"asw_SynTekMailFrom"	"Von"
"asw_SynTekMailDate"	"Datum"
"asw_SynTekMailSubject"	"Betreff"
"asw_SynTekMailAccount"	"E-Mail-Konto:"
"asw_SynTekNews"	"Neuigkeiten"
"asw_SynTekStocks"	"Aktien"
"asw_SynTekAtmospherics"	"Atmosphärenbericht"
"asw_SynTekAtmosphere"	"Atmosphäre"
"asw_SynTekPlantStatus"	"Anlagenzustand"
"asw_SynTekBackButton"	"Zurück"
"asw_SynTekMoreButton"	"Mehr"
"asw_SynTekDocs"	"Kritische Daten"
"asw_SynTekDownloadDocs"	"Kritische Daten herunterladen"
"asw_SynTekDownloadingDocs"	"Kritische Daten werden heruntergeladen"
"asw_SynTekDownloadDocsComplete"	"Download vollständig"
"asw_SynTekReactorLabel"	"Reaktor"
"asw_SynTekHeatExchangerLabel"	"Wärmetauscher"
"asw_SynTekCoolingTowerLabel"	"Kühlturm"
"asw_SynTekDrivingPistonsLabel"	"Antriebskolben"
"asw_SynTekTemperaturesLabel"	"TEMPERATUREN:"
"asw_SynTekPrimaryCoolantLabel"	"Primäres Kühlmittel"
"asw_SynTekSecondaryCoolantLabel"	"Sekundäres Kühlmittel"
"asw_SynTekEmergencyCoolantLabel"	"Notkühlmittel"
"asw_SynTekEnergyBusLabel"	"Leistungsabgabe der Hauptleitung:"
"asw_SynTekReactorStatusLabel"	"REAKTOR"
"asw_SynTekReactorOnlineLabel"	"IN BETRIEB"
"asw_SynTekReactorOfflineLabel"	"AUßER BETRIEB"
"asw_SynTekEnergyNameLabel"	"ENERGIEABGABE"
"asw_SynTekEfficiencyNameLabel"	"BETRIEBS-\nEFFIZIENZ"
"asw_stock_symbol"	"Symbol"
"asw_stock_name"	"Name"
"asw_stock_value"	"Wert"
"asw_stock_change"	"Änderung"
"asw_stock_volume"	"Volumen"
"asw_weather_temp"	"Temperatur:"
"asw_weather_wind"	"Windgeschwindigkeit:"
"asw_weather_pressure"	"Luftdruck:"
"asw_weather_humidity"	"Relative Luftfeuchtigkeit:"
"asw_weather_cloud"	"Wolkendecke:"
"asw_weather_vis"	"Sichtweite:"
"asw_weather_weather"	"Aktuelles Wetter:"
"asw_weather_temp_r"	"%s1 Kelvin"
"asw_weather_wind_r"	"%s1 m/s"
"asw_weather_pressure_r"	"%s1 hPa"
"asw_weather_humidity_r"	"%s1%"
"asw_weather_broken_cloud_r"	"Aufgelockerte Bewölkung in %s1m Höhe"
"asw_weather_few_cloud_r"	"Wenige Wolken in %s1m Höhe"
"asw_weather_vis_r"	"%s1 km"
"asw_weather_weather_light"	"Leichter Schneefall"
"asw_weather_weather_moderate"	"Mäßiger Schneefall"
"asw_weather_warning"	"WARNUNG: Mitarbeiter müssen auf die korrekte Vorgehensweise für Oberflächenarbeiten achten. Schneeraupen sind nur für autorisiertes Personal verfügbar, wenn die Aufgaben es erfordern. SynTek Megacorporation haftet nicht für durch Atmosphärenexposition verursachte Verletzungen, eingeschlossen aber nicht beschränkt auf Unterkühlung, Erstickung und Verätzungen."
"asw_SynTekFlagLabel0"	"Ende"
"asw_SynTekFlagLabel1"	"Sperren"
"asw_SynTekFlagLabel2"	"Dämpfung"
"asw_SynTekFlagLabel3"	"Turbinenüberlastung"
"asw_SynTekFlagLabel4"	"Turbinenausfall"
"asw_SynTekFlagLabel5"	"Überlastung des Wärmetauschers"
"asw_SynTekFlagLabel6"	"Ausfall des Wärmetauschers"
"asw_SynTekFlagLabel7"	"Leck des primären Kühlmittels"
"asw_SynTekFlagLabel8"	"Leck des sekundären Kühlmittels"
"asw_SynTekFlagLabel9"	"Leck des Notkühlmittels"
"asw_SynTekFlagLabel10"	"Subraumverbindung"
"asw_SynTekFlagLabel11"	"SynTek HQ-Verbindung"
"asw_access_pda"	"PDA aufrufen"
"asw_MailAccount"	"E-Mail-Konto:"
"asw_MailBodyLabel"	"Nachricht:"
// skills
"asw_leadership"	"Führung"
"asw_vindicator"	"Vindicator-Schaden"
"asw_incendiarym"	"Brandminen"
"asw_autogunsk"	"Autogun-Schaden"
"asw_stopping"	"Mannstoppwirkung"
"asw_piercingbullets"	"Panzerbrechende Kugeln"
"asw_healing"	"Heilung"
"asw_xenowound"	"Verseuchungsheilmittel"	//"Xenowound Specialization"
"asw_combatdrugs"	"Kampfdrogen"
"asw_hacking"	"Hacken"
"asw_scanner"	"Scanner"
"asw_engineering"	"Technik"
"asw_accuracy_skill"	"Schadensbonus"
"asw_grenades"	"Sprengstoffbonus"
"asw_health"	"Gesundheitsbonus"
"asw_melee"	"Nahkampfbonus"
"asw_reloading"	"Nachladebonus"
"asw_agility"	"Geschwindigkeitsbonus"
"asw_points"	"Punkte"
"asw_unspent_points"	"Fähigkeitspunkte: %s1"
"asw_undo_tooltip"	"Rückgängig"
"asw_undo_tooltip_desc"	"In dieser Mission verwendete Fähigkeitspunkte rückgängig machen"
"asw_points_tooltip"	"Unbenutzte Fähigkeitspunkte"
