"lang"
{
"Language"	"tchinese"
"Tokens"
{
"asw_SynTekMegacorp"	"SynTek 特大集團公司。"
"[english]asw_SynTekMegacorp"	"SynTek Megacorporation, Inc."
"asw_SynTekPDA"	"SynTek 個人數字助理"
"[english]asw_SynTekPDA"	"SynTek Personal Digital Assistant"
"asw_SynTekAccount"	"用戶：%s1"
"[english]asw_SynTekAccount"	"User: %s1"
"asw_SynTekSlogan1"	"“推動人類的發展。”"
"[english]asw_SynTekSlogan1"	"\"Pushing the boundaries of humanity.\""
"asw_SynTekSlogan2"	"“開拓空間與科技。”"
"[english]asw_SynTekSlogan2"	"\"Pioneers in Space and Science.\""
"asw_SynTekSlogan3"	"“邁向未來。”"
"[english]asw_SynTekSlogan3"	"\"Reaching out.\""
"asw_SynTekSlogan4"	"“我們承擔責任。”"
"[english]asw_SynTekSlogan4"	"\"We take responsibility.\""
"asw_SynTekSlogan5"	"“改善大自然的設計。”"
"[english]asw_SynTekSlogan5"	"\"Improving on nature's design.\""
"asw_SynTekScrollLine0"	"啓動 ROM 簽名正確。"
"[english]asw_SynTekScrollLine0"	"Boot ROM signed correctly."
"asw_SynTekScrollLine1"	"主機操作系統成功通過驗證。"
"[english]asw_SynTekScrollLine1"	"Host OS authentication successful."
"asw_SynTekScrollLine2"	"SynNET 連接…"
"[english]asw_SynTekScrollLine2"	"SynNET connection..."
"asw_SynTekScrollLine3"	"."
"[english]asw_SynTekScrollLine3"	"."
"asw_SynTekScrollLine4"	"."
"[english]asw_SynTekScrollLine4"	"."
"asw_SynTekScrollLine5"	"已建立！"
"[english]asw_SynTekScrollLine5"	"established!"
"asw_SynTekScrollLine6"	" "
"[english]asw_SynTekScrollLine6"	" "
"asw_SynTekScrollLine7"	"檢查二進制代碼吊銷…"
"[english]asw_SynTekScrollLine7"	"Checking binary code revocations..."
"asw_SynTekScrollLine8"	"SynTek 總部低延遲監視進程啓動。"
"[english]asw_SynTekScrollLine8"	"Low latency SynTek HQ monitoring process started."
"asw_SynTekScrollLine9"	" "
"[english]asw_SynTekScrollLine9"	" "
"asw_SynTekScrollLine10"	"啓動用戶安全模塊…"
"[english]asw_SynTekScrollLine10"	"Launching user security module..."
"asw_SynTekScrollLine11"	" "
"[english]asw_SynTekScrollLine11"	" "
"asw_SynTekScrollLine12"	"檢測到 IAF 轉發器。"
"[english]asw_SynTekScrollLine12"	"IAF Transponder Detected."
"asw_SynTekScrollLine13"	"代碼IAFN6392-SYN，等級五，設備緊急信號確認。"
"[english]asw_SynTekScrollLine13"	"Code IAFN6392-SYN class 5 facility emergency signal recognised."
"asw_SynTekScrollLine14"	"改寫代碼已接受。"
"[english]asw_SynTekScrollLine14"	"Override code accepted."
"asw_SynTekScrollLine15"	" "
"[english]asw_SynTekScrollLine15"	" "
"asw_SynTekScrollLine16"	"SynTek 特大企業網絡終端授權訪客用戶"
"[english]asw_SynTekScrollLine16"	"SynTek Megacorporation Network Terminal granting Guest User rights to"
"asw_SynTekScrollLine17"	"二等兵 David 'Crash' Murphy。"
"[english]asw_SynTekScrollLine17"	"Private David 'Crash' Murphy."
"asw_SynTekScrollLine18"	"根據星際集團通訊權8726號文件K23條第5款授權"
"[english]asw_SynTekScrollLine18"	"Under authority of Interstellar Corporate Communications Act #8726/K23 Subsection 5"
"asw_SynTekScrollLine19"	"關于在五級緊急情況下使用關鍵系統。"
"[english]asw_SynTekScrollLine19"	"concerning use of critical system in class 5 emergency situation."
"asw_SynTekScrollLine20"	" "
"[english]asw_SynTekScrollLine20"	" "
"asw_SynTekScrollLine21"	"所有操作將被記錄並且任何不必要的數據訪問將會"
"[english]asw_SynTekScrollLine21"	"All actions will be logged and any unnecessary data access will result"
"asw_SynTekScrollLine22"	"觸犯法律，SynTek 客戶特權將會被中止。"
"[english]asw_SynTekScrollLine22"	"in legal action and termination of SynTek consumer privileges."
"asw_SynTekScrollLine23"	" "
"[english]asw_SynTekScrollLine23"	" "
"asw_SynTekScrollLine24"	"正在展開訪客用戶菜單選項…"
"[english]asw_SynTekScrollLine24"	"Enumerating interface menu options for Guest user..."
"asw_SynTekScrollLine25"	"啓動菜單系統…"
"[english]asw_SynTekScrollLine25"	"Launching menu system..."
"asw_SynTekScrollLine26"	" "
"[english]asw_SynTekScrollLine26"	" "
"asw_SynTekSecurityCam"	"監控攝像頭"
"[english]asw_SynTekSecurityCam"	"Security Cam"
"asw_SynTekSecurityCam1"	"監控攝像頭 1"
"[english]asw_SynTekSecurityCam1"	"Security Cam 1"
"asw_SynTekSecurityCam2"	"監控攝像頭 2"
"[english]asw_SynTekSecurityCam2"	"Security Cam 2"
"asw_SynTekSecurityCam3"	"監控攝像頭 3"
"[english]asw_SynTekSecurityCam3"	"Security Cam 3"
"asw_SynTekTurret1"	"炮塔 1"
"[english]asw_SynTekTurret1"	"Turret 1"
"asw_SynTekTurret2"	"炮塔 2"
"[english]asw_SynTekTurret2"	"Turret 2"
"asw_SynTekTurret3"	"炮塔 3"
"[english]asw_SynTekTurret3"	"Turret 3"
"asw_turret_text_top_left"	"殖民地安全系統\n運行改寫代碼 ALPHA 5/34\n\n內部炮塔系統檢查\n0X83 0x32 0x17 0x02 0x82\n0x18 0x53 0x5A 0x70 0x12\n\n目標安全檢查：\n禁用"
"[english]asw_turret_text_top_left"	"COLONY SECURITY SYSTEM\nRUNNING OVERRIDE CODE ALPHA 5/34\n\nINTERNAL TURRET SYSTEMS CHECK\n0X83 0x32 0x17 0x02 0x82\n0x18 0x53 0x5A 0x70 0x12\n\nTARGET SAFETY CHECK:\nDISABLED"
"asw_turret_text_top_right"	"遠程安全系統V264.3C\n\n由 SYNTEK SECURITY 提供，一個\nSYNTEK 特大集團\n的全資子公司。\n\n追蹤激活\n射擊膛室：准備完畢"
"[english]asw_turret_text_top_right"	"REMOTE SECURITY SYSTEM V264.3C\n\nPROVIDED BY SYNTEK SECURITY, A\nWHOLLY OWNED SUBSIDIARY OF\nSYNTEK MEGACORPORATION, INC.\n\nTRACKING ACTIVE\nFIRING CHAMBER: OK"
"asw_SynTekMail"	"郵件"
"[english]asw_SynTekMail"	"Mail"
"asw_SynTekMailInbox"	"收件箱"
"[english]asw_SynTekMailInbox"	"Inbox"
"asw_SynTekMailOutbox"	"已發送"
"[english]asw_SynTekMailOutbox"	"Sent"
"asw_SynTekMailFrom"	"來自"
"[english]asw_SynTekMailFrom"	"From"
"asw_SynTekMailDate"	"日期"
"[english]asw_SynTekMailDate"	"Date"
"asw_SynTekMailSubject"	"主題"
"[english]asw_SynTekMailSubject"	"Subject"
"asw_SynTekMailAccount"	"郵件賬戶："
"[english]asw_SynTekMailAccount"	"Mail Account:"
"asw_SynTekNews"	"新聞"
"[english]asw_SynTekNews"	"News"
"asw_SynTekStocks"	"股票"
"[english]asw_SynTekStocks"	"Stocks"
"asw_SynTekAtmospherics"	"氣象報告"
"[english]asw_SynTekAtmospherics"	"Atmospheric Report"
"asw_SynTekAtmosphere"	"大氣"
"[english]asw_SynTekAtmosphere"	"Atmosphere"
"asw_SynTekPlantStatus"	"設施狀態"
"[english]asw_SynTekPlantStatus"	"Plant Status"
"asw_SynTekBackButton"	"返回"
"[english]asw_SynTekBackButton"	"Back"
"asw_SynTekMoreButton"	"更多"
"[english]asw_SynTekMoreButton"	"More"
"asw_SynTekDocs"	"重要數據"
"[english]asw_SynTekDocs"	"Critical Data"
"asw_SynTekDownloadDocs"	"下載重要數據"
"[english]asw_SynTekDownloadDocs"	"Download Critical Data"
"asw_SynTekDownloadingDocs"	"重要數據下載中"
"[english]asw_SynTekDownloadingDocs"	"Downloading Critical Data"
"asw_SynTekDownloadDocsComplete"	"下載完成"
"[english]asw_SynTekDownloadDocsComplete"	"Download Complete"
"asw_SynTekReactorLabel"	"反應堆"
"[english]asw_SynTekReactorLabel"	"Reactor"
"asw_SynTekHeatExchangerLabel"	"熱交換器"
"[english]asw_SynTekHeatExchangerLabel"	"Heat Exchanger"
"asw_SynTekCoolingTowerLabel"	"冷卻塔"
"[english]asw_SynTekCoolingTowerLabel"	"Cooling Tower"
"asw_SynTekDrivingPistonsLabel"	"加壓活塞"
"[english]asw_SynTekDrivingPistonsLabel"	"Driving Pistons"
"asw_SynTekTemperaturesLabel"	"溫度："
"[english]asw_SynTekTemperaturesLabel"	"TEMPERATURES:"
"asw_SynTekPrimaryCoolantLabel"	"主冷卻劑"
"[english]asw_SynTekPrimaryCoolantLabel"	"Primary Coolant"
"asw_SynTekSecondaryCoolantLabel"	"次級冷卻劑"
"[english]asw_SynTekSecondaryCoolantLabel"	"Secondary Coolant"
"asw_SynTekEmergencyCoolantLabel"	"備用冷卻劑"
